ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,2023.03.01,83.590000000000003,92.549999999999997,83.099999999999994,90.599999999999994,83.969999999999998,6.63,7.8957,129394.809999999997671,1146262.543999999994412
688256.SH,2023.03.02,89.5,92.680000000000006,89.019999999999996,91.5,90.599999999999994,0.9,0.9934,89249.130000000004656,813795.623999999952502
688256.SH,2023.03.03,95.989999999999994,99.5,92.260000000000005,93.709999999999993,91.5,2.21,2.4153,100637.30000000000291,957779.033000000054016
688256.SH,2023.03.06,92.120000000000004,94.450000000000002,90.200000000000002,91.230000000000003,93.709999999999993,-2.48,-2.6465,65694.460000000006402,605177.841999999945983
688256.SH,2023.03.07,91,91.879999999999995,86.939999999999997,87.879999999999995,91.230000000000003,-3.35,-3.672,69797.070000000006984,622561.685000000055879
688256.SH,2023.03.08,89.870000000000004,91.680000000000006,87.879999999999995,90.010000000000005,87.879999999999995,2.13,2.4238,62690.25,563063.491000000038184
688256.SH,2023.03.09,90.099999999999994,93.579999999999998,89.599999999999994,90.599999999999994,90.010000000000005,0.59,0.6555,46825.980000000003201,427590.538999999989755
688256.SH,2023.03.10,90.459999999999993,95.799999999999997,89.599999999999994,91.980000000000004,90.599999999999994,1.38,1.5232,82598.669999999998253,767040.087999999988824
688256.SH,2023.03.13,90.379999999999995,96.689999999999997,90.150000000000005,95.780000000000001,91.980000000000004,3.8,4.131300000000001,71422.190000000002328,676551.635000000009313
688256.SH,2023.03.14,95.849999999999994,105,95.299999999999997,102.89,95.780000000000001,7.110000000000001,7.423300000000001,127768.110000000000582,1285581.645000000018626
688256.SH,2023.03.15,102,106.189999999999997,101.950000000000002,103.980000000000004,102.89,1.09,1.0594,93685.860000000000582,972971.13600000005681
688256.SH,2023.03.16,104.980000000000004,106.079999999999998,99.590000000000003,102.439999999999997,103.980000000000004,-1.54,-1.4811,107594.259999999994761,1113186.581000000005587
688256.SH,2023.03.17,102.650000000000005,122.930000000000006,102,122.930000000000006,102.439999999999997,20.489999999999998,20.001999999999998,222534.390000000013969,2596614.413000000175088
